task,fragment,kind,adme_col,es,delta_median,cohens_d,logOR,n_present,n_absent,p,q
mouse,C:CCl,continuous,#Heavy atoms,-0.0255854936937491,0.0,0.029772402221955836,,597,2146,0.9047359341047602,0.9236810209883207
mouse,C:CCl,continuous,Ali Log S,-0.0255854936937491,-0.8100000000000005,-0.40270308047377845,,597,2146,9.391363830798496e-21,6.826799092388137e-20
mouse,C:CCl,continuous,Ali Solubility (mg/ml),-0.0255854936937491,-0.003233,-0.02555933312352133,,597,2146,4.3363592743447476e-21,3.5633560993528575e-20
mouse,C:CCl,continuous,Ali Solubility (mol/l),-0.0255854936937491,-8.33e-06,-0.025351125938447388,,597,2146,9.267456762364488e-21,6.826799092388137e-20
mouse,C:CCl,continuous,Consensus Log P,-0.0255854936937491,0.5500000000000003,0.41549654538048264,,597,2146,1.3998782191374726e-20,8.819232780566078e-20
mouse,C:CCl,continuous,ESOL Log S,-0.0255854936937491,-0.6799999999999997,-0.48587995044692817,,597,2146,3.374896552683392e-27,7.087282760635124e-26
mouse,C:CCl,continuous,ESOL Solubility (mg/ml),-0.0255854936937491,-0.006429999999999999,-0.04029150915298777,,597,2146,5.805017064342748e-28,2.742870562901949e-26
mouse,C:CCl,continuous,ESOL Solubility (mol/l),-0.0255854936937491,-1.6210000000000002e-05,-0.036852762334969674,,597,2146,3.317815711501359e-27,7.087282760635124e-26
mouse,C:CCl,continuous,MLOGP,-0.0255854936937491,0.6199999999999997,0.5145842224085743,,597,2146,7.609621973712977e-28,2.8764371060635053e-26
mouse,C:CCl,continuous,MR,-0.0255854936937491,0.32500000000000284,0.08250525383490837,,597,2146,0.27159057253015284,0.3269466127910757
mouse,C:CCl,continuous,MW,-0.0255854936937491,14.349999999999966,0.21026680487169427,,597,2146,3.193276139435944e-05,7.45097765868387e-05
mouse,C:CCl,continuous,Silicos-IT Log P,-0.0255854936937491,0.5399999999999996,0.33789764545187256,,597,2146,5.065433584854312e-13,1.9945144740363854e-12
mouse,C:CCl,continuous,Silicos-IT LogSw,-0.0255854936937491,-0.8700000000000001,-0.46316319089461383,,597,2146,2.0578434320790776e-22,2.073585460492174e-21
mouse,C:CCl,continuous,Silicos-IT Solubility (mg/ml),-0.0255854936937491,-4.2640000000000005e-05,-0.036965488030149735,,597,2146,8.050968357790453e-23,9.510206372639972e-22
mouse,C:CCl,continuous,Silicos-IT Solubility (mol/l),-0.0255854936937491,-9.64e-08,-0.03667212078495894,,597,2146,2.0230068496329622e-22,2.073585460492174e-21
