task,fragment,kind,adme_col,es,delta_median,cohens_d,logOR,n_present,n_absent,p,q
rat,CF,continuous,#Heavy atoms,-0.031722066,2,0.195582674,,980,1763,8.33E-09,1.92E-08
rat,CF,continuous,Ali Log S,-0.031722066,-0.28,-0.131008842,,980,1763,0.000159546,0.000304588
rat,CF,continuous,Ali Solubility (mg/ml),-0.031722066,-0.00143,-0.031051711,,980,1763,0.0006207,0.001145908
rat,CF,continuous,Ali Solubility (mol/l),-0.031722066,-3.66E-06,-0.030826018,,980,1763,0.000158653,0.000304588
rat,CF,continuous,Consensus Log P,-0.031722066,0.525,0.431603471,,980,1763,4.90E-27,5.49E-26
rat,CF,continuous,ESOL Log S,-0.031722066,-0.375,-0.283797439,,980,1763,2.25E-13,6.63E-13
rat,CF,continuous,ESOL Solubility (mg/ml),-0.031722066,-0.004365,-0.049386304,,980,1763,1.70E-12,4.38E-12
rat,CF,continuous,ESOL Solubility (mol/l),-0.031722066,-1.14E-05,-0.045556057,,980,1763,2.23E-13,6.63E-13
rat,CF,continuous,MLOGP,-0.031722066,0.68,0.52796344,,980,1763,3.63E-40,1.52E-38
rat,CF,continuous,MR,-0.031722066,-3.525,-0.091702177,,980,1763,0.057149203,0.082767811
rat,CF,continuous,MW,-0.031722066,26.96,0.254262965,,980,1763,5.96E-13,1.70E-12
rat,CF,continuous,Silicos-IT Log P,-0.031722066,0.54,0.331761724,,980,1763,5.20E-17,2.19E-16
rat,CF,continuous,Silicos-IT LogSw,-0.031722066,-0.675,-0.317723913,,980,1763,6.61E-15,2.41E-14
rat,CF,continuous,Silicos-IT Solubility (mg/ml),-0.031722066,-3.95E-05,-0.045839284,,980,1763,2.54E-14,8.70E-14
rat,CF,continuous,Silicos-IT Solubility (mol/l),-0.031722066,-9.80E-08,-0.045591975,,980,1763,6.46E-15,2.41E-14
rat,CF,continuous,Synthetic Accessibility,-0.031722066,-0.03,-0.080662482,,980,1763,0.437557944,0.521345636
rat,CF,continuous,TPSA,-0.031722066,-2.27,-0.077579271,,980,1763,0.096858863,0.130178312
rat,CF,continuous,WLOGP,-0.031722066,1.13,0.781715934,,980,1763,2.92E-73,2.45E-71
rat,CF,continuous,XLOGP3,-0.031722066,0.28,0.168896502,,980,1763,1.32E-05,2.71E-05
rat,CF,continuous,iLOGP,-0.031722066,-0.085,-0.115280029,,980,1763,0.005691514,0.009561744
rat,CF,continuous,log Kp (cm/s),-0.031722066,0,0.018842494,,980,1763,0.699582309,0.783532186
rat,CC(C)C,continuous,#Heavy atoms,0.03109076,2.5,0.485319789,,1180,1563,1.52E-30,4.27E-29
rat,CC(C)C,continuous,Ali Log S,0.03109076,-0.41,-0.334190325,,1180,1563,7.02E-13,1.96E-12
rat,CC(C)C,continuous,Ali Solubility (mg/ml),0.03109076,-0.00215,-0.034869065,,1180,1563,9.54E-12,2.39E-11
rat,CC(C)C,continuous,Ali Solubility (mol/l),0.03109076,-5.21E-06,-0.034565691,,1180,1563,7.13E-13,1.96E-12
rat,CC(C)C,continuous,Consensus Log P,0.03109076,0.42,0.35640921,,1180,1563,1.70E-17,7.31E-17
rat,CC(C)C,continuous,ESOL Log S,0.03109076,-0.35,-0.34219866,,1180,1563,4.29E-14,1.41E-13
rat,CC(C)C,continuous,ESOL Solubility (mg/ml),0.03109076,-0.00418,-0.05321346,,1180,1563,9.49E-13,2.57E-12
rat,CC(C)C,continuous,ESOL Solubility (mol/l),0.03109076,-1.11E-05,-0.04926127,,1180,1563,4.18E-14,1.41E-13
rat,CC(C)C,continuous,MLOGP,0.03109076,0.425,0.292452461,,1180,1563,2.06E-13,6.30E-13
rat,CC(C)C,continuous,MR,0.03109076,13.87,0.521713186,,1180,1563,2.23E-36,7.50E-35
rat,CC(C)C,continuous,MW,0.03109076,43.195,0.481613404,,1180,1563,1.18E-29,2.49E-28
rat,CC(C)C,continuous,Silicos-IT Log P,0.03109076,0.55,0.327235451,,1180,1563,2.07E-15,8.47E-15
rat,CC(C)C,continuous,Silicos-IT LogSw,0.03109076,0.035,-0.035192056,,1180,1563,0.929187397,0.975626151
rat,CC(C)C,continuous,Silicos-IT Solubility (mg/ml),0.03109076,5.30E-06,-0.050496815,,1180,1563,0.613740889,0.701418158
rat,CC(C)C,continuous,Silicos-IT Solubility (mol/l),0.03109076,5.15E-09,-0.050216845,,1180,1563,0.929922842,0.975626151
rat,CC(C)C,continuous,Synthetic Accessibility,0.03109076,0.79,0.925233234,,1180,1563,2.00E-109,3.35E-107
rat,CC(C)C,continuous,TPSA,0.03109076,0.22,0.088431778,,1180,1563,0.245723135,0.309986219
rat,CC(C)C,continuous,WLOGP,0.03109076,0.385,0.246098253,,1180,1563,3.37E-09,7.87E-09
rat,CC(C)C,continuous,XLOGP3,0.03109076,0.455,0.294359704,,1180,1563,1.68E-12,4.38E-12
rat,CC(C)C,continuous,iLOGP,0.03109076,0.36,0.430341938,,1180,1563,2.14E-30,5.15E-29
rat,CC(C)C,continuous,log Kp (cm/s),0.03109076,-0.03,0.018436875,,1180,1563,0.875731446,0.937088427
rat,C:CF,continuous,#Heavy atoms,-0.030351488,1,0.187587174,,650,2093,2.53E-06,5.24E-06
rat,C:CF,continuous,Ali Log S,-0.030351488,-0.06,0.016411842,,650,2093,0.956141729,0.97957806
rat,C:CF,continuous,Ali Solubility (mg/ml),-0.030351488,-6.00E-05,-0.026147185,,650,2093,0.685489132,0.772900498
rat,C:CF,continuous,Ali Solubility (mol/l),-0.030351488,-8.80E-07,-0.025963916,,650,2093,0.956254773,0.97957806
rat,C:CF,continuous,Consensus Log P,-0.030351488,0.32,0.253065805,,650,2093,9.73E-09,2.21E-08
rat,C:CF,continuous,ESOL Log S,-0.030351488,-0.19,-0.152923556,,650,2093,0.000462181,0.000862738
rat,C:CF,continuous,ESOL Solubility (mg/ml),-0.030351488,-0.00221,-0.041765404,,650,2093,0.001264767,0.002309574
rat,C:CF,continuous,ESOL Solubility (mol/l),-0.030351488,-5.65E-06,-0.038486141,,650,2093,0.000456241,0.000861218
rat,C:CF,continuous,MLOGP,-0.030351488,0.58,0.451636466,,650,2093,4.72E-25,4.17E-24
rat,C:CF,continuous,MR,-0.030351488,-0.43,0.005598939,,650,2093,0.585541518,0.683131771
rat,C:CF,continuous,MW,-0.030351488,18.49,0.201834661,,650,2093,6.28E-07,1.37E-06
rat,C:CF,continuous,Silicos-IT Log P,-0.030351488,0.39,0.27295714,,650,2093,1.41E-09,3.35E-09
rat,C:CF,continuous,Silicos-IT LogSw,-0.030351488,-0.69,-0.364947579,,650,2093,4.10E-15,1.60E-14
rat,C:CF,continuous,Silicos-IT Solubility (mg/ml),-0.030351488,-3.73E-05,-0.038619841,,650,2093,5.20E-15,1.98E-14
rat,C:CF,continuous,Silicos-IT Solubility (mol/l),-0.030351488,-8.61E-08,-0.038408617,,650,2093,4.05E-15,1.60E-14
rat,C:CF,continuous,Synthetic Accessibility,-0.030351488,0,-0.040299092,,650,2093,0.934975062,0.975626151
rat,C:CF,continuous,TPSA,-0.030351488,-0.46,-0.027423327,,650,2093,0.865429773,0.932001294
rat,C:CF,continuous,WLOGP,-0.030351488,0.72,0.384326726,,650,2093,6.74E-18,2.98E-17
rat,C:CF,continuous,XLOGP3,-0.030351488,-0.03,-0.004576036,,650,2093,0.950429019,0.97957806
rat,C:CF,continuous,iLOGP,-0.030351488,-0.09,-0.098201221,,650,2093,0.011453463,0.018864528
rat,C:CF,continuous,log Kp (cm/s),-0.030351488,-0.095,-0.132032962,,650,2093,0.003225895,0.005587117
rat,FC:CCl,continuous,#Heavy atoms,-0.029279017,1,0.1725342,,41,2702,0.118132247,0.153846647
rat,FC:CCl,continuous,Ali Log S,-0.029279017,0.03,-0.030100985,,41,2702,0.598737122,0.689276633
rat,FC:CCl,continuous,Ali Solubility (mg/ml),-0.029279017,7.00E-05,-0.020306777,,41,2702,0.676068766,0.76742941
rat,FC:CCl,continuous,Ali Solubility (mol/l),-0.029279017,3.45E-07,-0.020140485,,41,2702,0.599014217,0.689276633
rat,FC:CCl,continuous,Consensus Log P,-0.029279017,0.12,0.122559825,,41,2702,0.32590301,0.393897164
rat,FC:CCl,continuous,ESOL Log S,-0.029279017,-0.36,-0.223982599,,41,2702,0.064190712,0.090622181
rat,FC:CCl,continuous,ESOL Solubility (mg/ml),-0.029279017,-0.00322,-0.033311201,,41,2702,0.077879117,0.109030763
rat,FC:CCl,continuous,ESOL Solubility (mol/l),-0.029279017,-8.16E-06,-0.030378143,,41,2702,0.063806689,0.090622181
