SMILES,human,rat,mouse,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
C[C@H](Cn1cnc2c1ncnc2N)OCP(=O)(O)O,0,-1,-1,287.21,19,9,0.44,5,7,3,67.48,146.19,0.41,-1.6,-0.04,-1.89,-1.93,-1.01,-0.63,66.8,0.233,Very soluble,-0.96,31.4,0.109,Very soluble,-0.83,42.4,0.148,Soluble,Low,No,No,No,No,No,No,No,-9.19,0,0,1,1,0,0.56,0,1,0,3.39
Fc1cnc(nc1c1ccc2c(c1)ncs2)Nc1ccc(cn1)C(=O)N1CCNCC1,1,-1,-1,435.48,31,21,0.19,5,7,2,123.97,124.17,3.14,2.36,2.74,1.21,3.56,2.6,-4.2,0.0276,6.34E-05,Moderately soluble,-4.61,0.0107,2.47E-05,Moderately soluble,-7.55,1.22E-05,2.80E-08,Poorly soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-7.28,0,0,0,0,0,0.55,0,0,1,3.05
COc1ccc2c(c1)CCCN2c1nc(C)nc2c1c(C)no2,1,-1,-1,310.35,23,15,0.35,2,5,0,91.06,64.28,3.21,3.5,2.95,2.34,3.13,3.03,-4.32,0.0149,4.79E-05,Moderately soluble,-4.53,0.0091,2.93E-05,Moderately soluble,-5.74,0.000565,1.82E-06,Moderately soluble,High,Yes,Yes,Yes,Yes,Yes,No,Yes,-5.71,0,0,0,0,0,0.55,0,0,0,3.22
OC[C@H](c1ccccc1)Nc1ncnc2c1cc([nH]2)c1ccc(c(c1)F)CO,1,-1,-1,378.4,28,21,0.14,6,5,4,105.17,94.06,2.8,2.7,3.15,2.34,3.98,2.99,-4.05,0.034,8.99E-05,Moderately soluble,-4.33,0.0178,4.70E-05,Moderately soluble,-7.55,1.06E-05,2.81E-08,Poorly soluble,High,No,Yes,No,Yes,No,Yes,Yes,-6.69,0,0,0,0,0,0.55,0,0,1,3.3
OC1C2CC3CC1CC(C2)C3,-1,0,-1,152.23,11,0,1,0,1,1,45,20.23,2.19,1.93,1.8,2.45,1.75,2.03,-2,1.52,0.01,Very soluble,-1.98,1.6,0.0105,Very soluble,-0.9,19,0.125,Soluble,High,Yes,No,No,No,No,No,No,-5.86,0,1,0,0,2,0.55,0,0,1,3.81
OCCONC(=O)c1cc(/C=N/OCC(O)(C)C)c(c(c1Nc1ccc(cc1F)I)F)F,-1,-1,0,567.3,32,12,0.3,11,9,4,118.79,112.41,3.45,3.59,4.49,3.41,4.66,3.92,-5.17,0.00383,6.75E-06,Moderately soluble,-5.64,0.00131,2.31E-06,Moderately soluble,-6.96,6.26E-05,1.10E-07,Poorly soluble,High,No,No,No,Yes,Yes,No,No,-7.21,1,1,1,0,0,0.55,0,3,3,4
CCOC(=O)c1c(oc2c1c(CN1CCCCC1)c(cc2)O)c1ccc(cc1)O,-1,-1,0,395.45,29,15,0.35,6,6,2,115.48,83.14,3.35,4.18,4.14,2.4,4.22,3.66,-4.91,0.00484,1.22E-05,Moderately soluble,-5.63,0.000917,2.32E-06,Moderately soluble,-6.19,0.000255,6.46E-07,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,No,-5.74,0,0,0,0,0,0.55,1,0,2,3.69
O=C(c1n(CCOc2cccc(c2)C(F)(F)F)nnc1c1ccccc1)N[C@H](c1ccc(cc1)C(=O)O)C,1,-1,1,524.49,38,23,0.19,11,9,2,131.79,106.34,2.88,4.87,6.06,3.64,4.59,4.41,-5.88,0.000688,1.31E-06,Moderately soluble,-6.84,7.62E-05,1.45E-07,Poorly soluble,-8.63,1.24E-06,2.36E-09,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-6.04,1,3,1,1,0,0.56,0,0,3,4.23
COc1ccc(cn1)c1csc2c1c(N)ncc2c1ccc(cc1)S(=O)(=O)C,0,-1,0,411.5,28,21,0.1,4,5,1,112.28,131.79,2.73,3.25,5.11,2.27,4.24,3.52,-4.73,0.00767,1.86E-05,Moderately soluble,-5.69,0.000838,2.04E-06,Moderately soluble,-7.62,9.76E-06,2.37E-08,Poorly soluble,Low,No,No,Yes,Yes,Yes,No,Yes,-6.5,0,0,0,1,0,0.55,0,0,1,3.19
CNS(=O)(=O)c1ccc(c(c1)Cl)CNC(=O)c1ccc(nc1)OCCC(F)(F)F,1,0,-1,451.85,29,12,0.29,10,9,2,98.92,105.77,2.23,2.99,5.09,1.64,3.07,3,-4.17,0.0305,6.74E-05,Moderately soluble,-4.88,0.00602,1.33E-05,Moderately soluble,-7.24,2.62E-05,5.79E-08,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.93,0,0,0,0,0,0.55,0,0,2,2.92
Cn1ncc(c1)c1nc(ncc1C)Nc1ccc2c(c1)CCN2S(=O)(=O)c1ccc(cc1)C(F)(F)F,0,-1,-1,514.52,36,23,0.21,6,8,1,131.83,101.39,3.59,4.04,6.55,2.64,3.11,3.99,-5.65,0.00115,2.23E-06,Moderately soluble,-5.87,0.00069,1.34E-06,Moderately soluble,-8.55,1.46E-06,2.84E-09,Poorly soluble,Low,No,Yes,No,Yes,Yes,No,Yes,-6.57,1,3,0,1,0,0.55,0,0,2,3.6
COc1ccc(cc1)CNC(=O)c1ccc2c(c1)N(CC)C(=O)c1c(S2=O)cccc1,-1,-1,1,434.51,31,18,0.17,6,4,1,122.08,94.92,2.96,2.91,4.11,2.93,3.19,3.22,-4.4,0.0173,3.97E-05,Moderately soluble,-4.56,0.0119,2.73E-05,Moderately soluble,-8.16,2.99E-06,6.89E-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.88,0,0,0,0,0,0.55,0,0,1,4.14
O=C(c1ccc(cc1)c1ccsc1)NCCCCN1CCN(CC1)c1ccccc1C(F)(F)F,-1,0,-1,487.58,34,17,0.35,10,5,1,137.96,63.82,4.33,5.73,6.16,4.26,6.47,5.39,-6.18,0.00032,6.56E-07,Poorly soluble,-6.84,7.09E-05,1.45E-07,Poorly soluble,-8.82,7.33E-07,1.50E-09,Poorly soluble,High,No,Yes,No,Yes,No,Yes,Yes,-5.21,1,3,0,1,1,0.55,0,0,3,3.28
N#Cc1nc2ccccc2c(c1)C(=C)c1ccc2c(c1)ccn2C,-1,1,-1,309.36,24,19,0.05,2,2,0,97.79,41.61,3.21,4.98,4.66,2.86,4.59,4.06,-5.35,0.00138,4.47E-06,Moderately soluble,-5.59,0.00079,2.55E-06,Moderately soluble,-7.18,2.03E-05,6.58E-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-4.65,0,0,0,0,0,0.55,0,0,1,2.56
C1/C=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nc(c3cc(CO1)ccc3)ccn2,-1,0,0,472.58,35,18,0.36,4,6,1,143.91,68.74,3.86,3.77,3.9,2.28,3.88,3.54,-5.26,0.00259,5.47E-06,Moderately soluble,-4.91,0.00586,1.24E-05,Moderately soluble,-8.27,2.57E-06,5.43E-09,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,No,-6.51,0,1,0,0,0,0.55,0,1,2,5.3
COc1ccc2c(n1)ccc(c2)C(=O)Nc1ccc2c(c1)CN(C2=O)C1CCC(=O)NC1=O,-1,-1,0,444.44,33,16,0.21,5,6,2,126.54,117.7,2.54,1.59,1.15,1.89,2.5,1.93,-3.63,0.105,0.000237,Soluble,-3.67,0.0944,0.000212,Soluble,-6.99,4.55E-05,1.02E-07,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-7.88,0,0,0,0,0,0.55,0,1,1,3.24
O=C(Cc1ccc(cn1)c1ccc(cc1)OCCN1CCN(CC1)C(=O)CC1CC1)NCc1ccccc1,0,-1,-1,512.64,38,18,0.39,13,5,1,155.9,74.77,4.66,3.55,2.95,2.25,5.05,3.69,-4.75,0.00917,1.79E-05,Moderately soluble,-4.81,0.00803,1.57E-05,Moderately soluble,-8.96,5.62E-07,1.10E-09,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-6.91,1,3,1,0,0,0.55,0,0,3,3.69
